categoria,estacao,preco,desconto,tendencia,margem,historico_vendas,unidades
Vestido,Inverno,76.73,0,1,0.22,14,19
Calças,Inverno,45.37,0,0,0.22,56,48
Vestido,Inverno,102.7,10,1,0.53,11,21
Vestido,Outono,32.46,0,0,0.62,15,29
Saia,Outono,144.58,10,1,0.2,30,29
Calças,Inverno,87.87,20,0,0.29,43,42
Calças,Inverno,11.27,20,0,0.33,45,54
Casaco,Inverno,35.13,20,1,0.28,97,118
Sweater,Primavera,18.11,0,1,0.65,39,27
Casaco,Primavera,63.71,0,1,0.37,22,14
Casaco,Primavera,24.31,30,0,0.57,21,27
Casaco,Verão,28.39,30,1,0.21,1,9
Calças,Inverno,111.42,20,0,0.59,48,61
Vestido,Inverno,32.29,0,0,0.27,11,14
Saia,Inverno,51.18,30,1,0.28,1,17
T-shirt,Verão,41.58,0,0,0.35,96,85
T-shirt,Inverno,75.04,20,0,0.64,30,25
Casaco,Verão,137.09,20,1,0.27,5,12
Sweater,Verão,39.45,0,1,0.62,14,12
Sweater,Primavera,125.43,0,0,0.64,26,22
Calças,Outono,103.85,50,0,0.6,66,76
T-shirt,Verão,140.93,30,0,0.55,110,94
Casaco,Verão,124.42,10,0,0.44,5,5
Saia,Outono,40.69,50,0,0.28,28,49
Calças,Verão,110.69,0,1,0.64,46,38
Saia,Verão,14.29,0,0,0.59,73,76
Casaco,Inverno,61.95,50,0,0.59,97,100
Casaco,Verão,93.68,20,0,0.65,1,1
Calças,Inverno,127.04,0,1,0.38,44,61
Calças,Outono,67.82,0,0,0.24,61,60
Casaco,Verão,23.34,20,0,0.38,11,10
Casaco,Inverno,65.53,0,0,0.6,72,54
Casaco,Verão,30.41,10,0,0.63,1,1
Vestido,Primavera,59.94,10,1,0.52,69,93
Vestido,Primavera,14.79,50,0,0.3,42,98
Saia,Primavera,22.4,0,0,0.51,68,51
Sweater,Verão,55.24,50,0,0.31,12,3
Sweater,Primavera,30.1,30,1,0.27,16,37
Sweater,Primavera,144.87,0,0,0.64,24,20
T-shirt,Inverno,25.84,20,1,0.47,28,33
T-shirt,Verão,58.8,0,0,0.34,104,81
Vestido,Inverno,101.07,20,1,0.4,14,25
Saia,Outono,62.59,0,0,0.35,36,38
Vestido,Inverno,86.79,10,0,0.4,1,15
Sweater,Verão,116.31,10,0,0.63,1,8
Casaco,Outono,65.21,10,1,0.52,53,75
Saia,Inverno,143.65,20,0,0.29,5,6
Casaco,Inverno,83.23,20,1,0.44,85,100
Calças,Primavera,146.74,20,0,0.26,55,53
T-shirt,Verão,35.93,30,0,0.24,107,96
Vestido,Primavera,94.23,20,1,0.3,46,102
Saia,Verão,136.0,0,0,0.55,59,63
Calças,Primavera,23.37,10,0,0.46,45,52
Saia,Primavera,34.98,0,0,0.29,64,44
T-shirt,Verão,29.85,0,0,0.5,99,81
Vestido,Outono,57.75,20,0,0.35,28,39
Saia,Primavera,93.41,10,0,0.35,68,53
Casaco,Primavera,19.79,10,0,0.47,19,9
Sweater,Verão,17.33,0,0,0.65,14,1
Calças,Inverno,144.63,10,1,0.28,55,57
Casaco,Primavera,52.12,50,0,0.37,23,32
T-shirt,Primavera,104.02,0,0,0.55,72,66
Casaco,Verão,18.84,0,0,0.35,1,3
T-shirt,Outono,125.54,0,1,0.59,35,50
Casaco,Primavera,64.75,10,0,0.44,24,34
Sweater,Verão,29.78,0,1,0.35,5,8
Sweater,Inverno,90.23,30,0,0.42,61,83
Sweater,Verão,34.48,10,0,0.27,12,10
Casaco,Primavera,141.1,30,0,0.58,15,18
Vestido,Outono,18.59,20,0,0.23,38,32
T-shirt,Outono,43.49,0,0,0.34,29,37
Casaco,Inverno,149.54,20,0,0.34,63,83
Saia,Inverno,66.67,20,0,0.44,6,1
Saia,Verão,44.8,0,0,0.56,64,66
Saia,Primavera,55.29,20,0,0.29,41,55
T-shirt,Inverno,100.45,10,0,0.27,13,21
Calças,Inverno,123.5,10,1,0.38,64,61
Calças,Inverno,20.7,0,1,0.31,56,68
Vestido,Verão,99.13,10,0,0.43,70,92
Saia,Inverno,15.83,0,1,0.23,1,20
Sweater,Inverno,58.96,20,0,0.28,64,77
Calças,Verão,21.57,10,1,0.55,33,48
T-shirt,Verão,76.96,30,0,0.26,88,97
Casaco,Verão,27.93,0,1,0.3,1,1
T-shirt,Verão,142.03,0,0,0.29,97,82
Sweater,Outono,133.1,0,0,0.49,43,48
Vestido,Inverno,86.3,50,1,0.22,16,18
Vestido,Verão,39.89,10,1,0.53,89,126
Sweater,Outono,31.22,0,0,0.59,59,48
T-shirt,Inverno,111.7,50,0,0.38,24,17
Sweater,Outono,96.1,20,0,0.44,62,62
Casaco,Primavera,11.54,20,1,0.51,21,35
Vestido,Primavera,27.46,0,0,0.55,63,56
Sweater,Inverno,34.97,0,0,0.28,76,70
Saia,Verão,111.28,0,0,0.52,75,56
Vestido,Outono,13.21,0,0,0.27,38,26
Vestido,Inverno,62.28,0,1,0.31,21,25
Sweater,Primavera,34.29,10,0,0.28,29,19
Calças,Verão,33.14,20,0,0.46,40,37
Saia,Inverno,122.37,10,0,0.26,7,21
T-shirt,Inverno,112.13,20,0,0.47,21,27
Casaco,Primavera,19.65,0,0,0.32,15,21
Sweater,Outono,72.96,20,0,0.42,46,55
T-shirt,Outono,58.63,30,0,0.5,54,47
Calças,Verão,68.63,0,1,0.64,28,45
T-shirt,Outono,53.22,30,1,0.28,26,65
T-shirt,Outono,105.73,10,1,0.3,48,50
T-shirt,Primavera,95.81,0,1,0.39,41,69
Calças,Verão,130.68,10,1,0.33,43,43
Vestido,Inverno,121.16,10,0,0.59,22,20
Saia,Outono,133.14,30,0,0.4,30,22
Casaco,Primavera,64.7,20,0,0.4,17,14
Vestido,Inverno,36.14,0,0,0.54,23,3
Sweater,Inverno,82.83,10,0,0.27,83,73
Vestido,Inverno,80.99,10,0,0.36,11,21
Sweater,Verão,145.49,30,0,0.53,9,11
Saia,Primavera,111.53,0,1,0.64,62,53
Vestido,Primavera,14.11,20,0,0.37,74,71
Sweater,Verão,25.5,20,1,0.61,4,8
Sweater,Outono,133.18,10,0,0.25,44,62
Calças,Primavera,113.55,0,0,0.4,56,46
Sweater,Outono,45.56,0,1,0.25,57,66
T-shirt,Inverno,20.17,0,0,0.59,12,16
T-shirt,Primavera,67.16,20,1,0.3,75,83
Vestido,Outono,33.67,0,0,0.3,25,19
Sweater,Outono,69.16,0,1,0.61,50,69
Vestido,Outono,115.55,20,0,0.63,41,26
Casaco,Outono,132.19,0,1,0.44,28,53
Vestido,Primavera,51.61,0,1,0.22,88,93
Sweater,Verão,134.92,0,0,0.31,11,6
Sweater,Verão,90.27,20,0,0.3,11,19
T-shirt,Inverno,131.6,0,1,0.21,13,20
Vestido,Verão,33.08,0,1,0.4,110,112
Casaco,Inverno,42.79,20,1,0.32,73,107
Sweater,Verão,134.81,0,0,0.47,10,1
T-shirt,Primavera,76.22,10,0,0.4,66,73
T-shirt,Verão,16.93,20,1,0.33,77,120
Calças,Outono,16.21,0,1,0.33,69,69
T-shirt,Outono,79.1,20,1,0.26,25,40
Casaco,Inverno,137.07,20,0,0.34,94,77
Calças,Verão,26.03,0,0,0.37,41,35
T-shirt,Inverno,21.23,0,1,0.5,30,14
Calças,Verão,99.05,30,0,0.59,44,39
Calças,Primavera,107.28,10,0,0.24,46,40
T-shirt,Verão,128.38,20,0,0.5,87,83
Casaco,Inverno,121.77,20,1,0.61,83,85
Calças,Outono,94.15,20,0,0.37,39,54
T-shirt,Primavera,142.53,0,0,0.37,54,45
Vestido,Primavera,24.18,20,0,0.58,63,75
T-shirt,Primavera,146.08,0,1,0.44,48,61
Vestido,Inverno,67.98,0,0,0.27,15,13
Saia,Verão,62.47,10,0,0.65,73,60
Sweater,Inverno,14.33,50,1,0.64,66,117
Saia,Outono,127.4,0,1,0.52,38,28
Saia,Inverno,126.3,10,0,0.46,15,7
Casaco,Outono,119.53,20,0,0.35,77,56
Casaco,Primavera,76.58,10,0,0.63,26,31
Casaco,Verão,28.29,20,0,0.56,7,2
Casaco,Inverno,115.65,10,0,0.42,65,85
Vestido,Outono,138.62,0,1,0.6,49,24
Casaco,Outono,143.85,0,0,0.58,58,23
Sweater,Primavera,139.69,0,0,0.51,23,21
Sweater,Primavera,60.22,20,0,0.29,36,31
Sweater,Outono,16.18,0,0,0.23,46,58
Vestido,Verão,24.62,0,1,0.33,113,112
Saia,Primavera,107.69,0,0,0.59,58,34
Calças,Verão,109.42,20,0,0.59,33,36
Vestido,Verão,55.01,10,0,0.49,89,93
T-shirt,Primavera,27.21,30,0,0.4,57,71
Calças,Verão,74.84,0,0,0.33,37,43
Sweater,Verão,28.74,10,0,0.54,9,9
Calças,Verão,48.66,20,0,0.58,35,37
Saia,Inverno,24.26,0,0,0.58,11,10
Saia,Outono,137.39,0,1,0.24,6,24
Vestido,Primavera,108.54,0,0,0.52,76,60
Sweater,Primavera,24.75,20,0,0.22,23,31
T-shirt,Outono,74.08,0,0,0.37,27,43
Saia,Inverno,129.05,0,0,0.41,17,1
Saia,Primavera,51.34,0,0,0.53,39,58
Sweater,Verão,91.08,0,0,0.5,12,16
Saia,Verão,12.06,0,0,0.21,55,49
Sweater,Primavera,136.85,0,1,0.59,27,23
Casaco,Inverno,118.21,10,1,0.26,66,98
Calças,Primavera,47.18,0,0,0.55,43,36
Vestido,Primavera,100.5,50,1,0.21,90,116
Saia,Verão,31.33,30,1,0.62,67,96
Casaco,Verão,91.51,50,0,0.44,17,27
Sweater,Primavera,38.7,20,0,0.6,22,21
Saia,Primavera,83.82,30,0,0.49,62,64
Sweater,Inverno,85.43,0,0,0.51,81,65
Sweater,Primavera,144.11,10,0,0.43,26,20
Sweater,Verão,74.35,10,0,0.22,1,7
Vestido,Inverno,128.11,50,1,0.58,1,23
T-shirt,Verão,93.1,0,0,0.64,79,73
Saia,Verão,76.77,20,0,0.49,77,65
Sweater,Primavera,79.85,0,0,0.36,34,17
Calças,Inverno,34.9,10,1,0.31,48,62
Saia,Verão,136.19,0,1,0.63,45,83
Vestido,Inverno,22.7,0,0,0.4,25,1
Calças,Inverno,128.62,30,1,0.64,41,66
Saia,Verão,143.88,0,0,0.3,71,70
Saia,Outono,55.69,20,0,0.39,27,34
Sweater,Inverno,125.24,30,0,0.29,70,73
Sweater,Inverno,99.05,0,0,0.6,69,67
Casaco,Outono,82.19,10,0,0.33,74,40
T-shirt,Primavera,92.66,0,0,0.53,58,49
Sweater,Outono,36.76,0,1,0.49,61,77
Sweater,Verão,124.52,0,0,0.26,13,5
Sweater,Primavera,30.94,0,0,0.54,19,13
T-shirt,Outono,97.98,10,0,0.63,43,30
T-shirt,Primavera,109.19,0,1,0.4,47,66
Calças,Outono,129.07,0,0,0.22,49,41
Saia,Outono,26.64,20,0,0.4,24,13
Casaco,Inverno,64.21,30,0,0.55,69,96
Calças,Primavera,23.65,10,0,0.52,36,55
Saia,Outono,77.52,0,1,0.52,34,26
T-shirt,Inverno,104.8,10,0,0.57,18,15
Vestido,Verão,126.6,30,0,0.5,48,89
Vestido,Primavera,59.41,10,0,0.53,61,53
Vestido,Verão,56.54,0,0,0.63,101,87
Sweater,Outono,68.57,20,0,0.33,55,63
Calças,Verão,82.62,0,1,0.25,43,52
T-shirt,Primavera,58.51,0,0,0.29,52,48
Calças,Verão,145.6,10,0,0.23,45,36
Casaco,Outono,97.31,10,0,0.21,74,48
T-shirt,Inverno,95.4,0,0,0.47,27,20
Vestido,Inverno,92.26,20,0,0.38,1,18
Casaco,Outono,144.06,0,1,0.28,59,59
Vestido,Inverno,114.77,30,0,0.32,31,29
T-shirt,Primavera,43.88,20,0,0.29,65,62
Saia,Outono,44.66,0,0,0.53,21,23
Calças,Verão,122.71,20,1,0.44,42,53
Vestido,Verão,50.81,20,0,0.29,105,92
T-shirt,Verão,130.38,0,1,0.39,114,103
Casaco,Verão,100.91,30,0,0.57,5,9
Casaco,Verão,80.37,0,0,0.62,3,17
Calças,Primavera,46.43,0,0,0.23,46,49
Saia,Outono,105.92,0,0,0.34,46,33
Saia,Primavera,59.53,20,1,0.34,65,76
Calças,Primavera,80.79,30,1,0.25,48,84
Sweater,Primavera,130.23,20,1,0.59,40,26
Saia,Outono,104.31,0,0,0.3,28,28
Calças,Verão,32.59,0,0,0.27,43,32
Casaco,Outono,41.13,10,0,0.31,31,49
Sweater,Inverno,90.07,50,0,0.54,83,103
Calças,Primavera,38.51,0,0,0.46,38,46
Saia,Inverno,140.64,10,1,0.43,14,19
Calças,Primavera,143.2,20,0,0.59,59,47
Vestido,Inverno,110.05,30,1,0.51,27,20
T-shirt,Outono,27.83,0,0,0.43,43,22
Vestido,Primavera,67.36,10,0,0.33,59,63
T-shirt,Inverno,145.53,0,0,0.23,16,24
Saia,Outono,16.0,10,0,0.53,18,34
Casaco,Inverno,16.34,0,1,0.37,89,105
Casaco,Verão,118.19,10,0,0.54,16,15
Calças,Inverno,29.65,20,0,0.53,42,52
Saia,Verão,137.15,20,0,0.49,99,79
Calças,Inverno,76.35,20,0,0.29,40,49
Sweater,Verão,137.1,10,0,0.23,17,8
Calças,Verão,121.47,0,0,0.32,40,39
Saia,Inverno,36.73,20,0,0.47,17,15
Casaco,Inverno,116.52,0,0,0.51,70,64
Sweater,Verão,68.13,30,1,0.48,9,20
Sweater,Outono,81.99,20,0,0.5,52,63
Saia,Inverno,145.42,20,1,0.62,32,6
Saia,Primavera,28.21,0,0,0.55,65,42
Vestido,Verão,12.01,20,0,0.54,69,100
Vestido,Outono,97.45,30,0,0.46,33,45
Calças,Primavera,64.49,0,0,0.62,62,34
Vestido,Primavera,149.39,50,0,0.56,71,84
Vestido,Primavera,104.47,20,0,0.62,77,69
T-shirt,Primavera,19.77,10,1,0.56,47,87
Sweater,Verão,18.48,20,0,0.28,21,10
Sweater,Outono,99.46,50,1,0.46,66,92
Vestido,Inverno,23.29,10,1,0.23,14,25
Sweater,Verão,93.55,10,1,0.51,10,12
T-shirt,Outono,38.08,0,0,0.47,39,31
Saia,Outono,65.43,20,1,0.34,22,42
Calças,Verão,76.49,0,1,0.23,40,47
T-shirt,Inverno,26.02,0,0,0.29,18,25
Casaco,Primavera,52.35,50,0,0.6,18,23
Vestido,Inverno,96.41,0,0,0.55,14,11
T-shirt,Outono,147.79,0,1,0.33,33,35
Calças,Outono,148.85,20,0,0.22,53,56
Casaco,Verão,37.32,10,1,0.42,6,19
Vestido,Inverno,66.95,0,0,0.54,14,3
T-shirt,Inverno,78.55,10,0,0.45,12,20
Sweater,Inverno,35.94,0,0,0.28,89,72
Sweater,Primavera,119.99,0,1,0.6,26,34
Saia,Verão,148.39,0,0,0.43,83,62
Saia,Outono,94.04,0,0,0.3,10,22
Calças,Inverno,138.9,0,0,0.29,43,45
T-shirt,Inverno,116.48,0,0,0.39,29,15
Saia,Outono,14.26,0,0,0.43,26,30
Saia,Outono,97.69,0,1,0.62,36,33
T-shirt,Inverno,16.95,20,0,0.47,14,14
Calças,Verão,17.77,10,0,0.29,42,43
Sweater,Verão,19.26,0,1,0.44,7,5
T-shirt,Primavera,144.61,20,1,0.32,54,80
Calças,Verão,142.6,30,1,0.32,41,58
Casaco,Verão,121.23,0,0,0.34,14,9
Calças,Inverno,37.79,0,0,0.52,40,34
Calças,Outono,44.53,10,0,0.54,67,56
Saia,Outono,115.99,0,0,0.3,12,9
Calças,Inverno,116.05,0,0,0.25,49,44
Saia,Primavera,130.84,20,0,0.42,47,54
Sweater,Inverno,112.74,10,0,0.38,69,68
Saia,Inverno,132.22,10,0,0.38,17,5
Calças,Primavera,20.59,0,0,0.46,44,47
Casaco,Outono,102.22,10,0,0.28,59,52
Sweater,Inverno,147.7,0,1,0.39,66,88
Saia,Outono,90.42,0,0,0.6,23,23
T-shirt,Primavera,88.02,0,1,0.36,63,70
Saia,Outono,125.31,0,0,0.34,33,35
Calças,Outono,76.58,10,0,0.5,78,57
Saia,Outono,68.47,0,0,0.62,25,17
Casaco,Outono,66.45,20,1,0.48,47,68
Casaco,Primavera,84.43,10,0,0.3,14,19
Sweater,Inverno,68.69,0,1,0.45,75,85
T-shirt,Outono,40.86,30,1,0.61,33,64
Calças,Verão,84.38,20,0,0.53,47,40
Sweater,Inverno,128.25,10,0,0.61,65,70
T-shirt,Primavera,136.22,0,1,0.45,77,72
Casaco,Primavera,111.97,0,0,0.56,35,15
Vestido,Primavera,148.65,0,0,0.5,80,47
Saia,Outono,79.57,30,1,0.26,37,34
Calças,Primavera,106.66,0,1,0.22,38,54
Vestido,Outono,126.22,30,0,0.32,25,32
Vestido,Primavera,112.36,30,1,0.34,51,103
Casaco,Outono,10.88,0,0,0.45,62,45
Casaco,Inverno,67.47,0,0,0.34,58,76
Sweater,Verão,102.79,30,1,0.53,12,22
Saia,Verão,39.2,0,1,0.45,69,69
Calças,Primavera,125.83,10,0,0.56,36,37
T-shirt,Outono,25.56,10,1,0.56,25,48
Saia,Inverno,101.89,10,0,0.22,11,6
Casaco,Outono,33.67,0,1,0.43,44,49
Calças,Inverno,103.15,10,0,0.21,44,46
Saia,Inverno,94.45,10,0,0.41,14,2
Saia,Verão,120.8,10,0,0.23,68,66
T-shirt,Primavera,102.56,20,0,0.49,54,55
Vestido,Primavera,149.57,0,0,0.39,57,53
T-shirt,Verão,127.88,10,1,0.5,116,105
T-shirt,Verão,65.7,20,0,0.27,73,83
Saia,Verão,27.85,20,1,0.27,68,102
Saia,Inverno,96.03,10,0,0.54,6,12
Vestido,Verão,71.93,0,0,0.61,98,49
Saia,Primavera,135.2,10,0,0.33,56,52
Sweater,Outono,124.14,30,1,0.6,58,83
Calças,Primavera,148.44,0,0,0.42,40,41
Sweater,Verão,19.21,30,0,0.34,9,1
Casaco,Verão,92.92,20,0,0.53,12,3
Casaco,Primavera,122.57,10,1,0.24,32,30
Casaco,Inverno,78.89,20,0,0.3,66,85
Vestido,Primavera,85.79,0,0,0.25,58,64
Calças,Verão,124.81,0,0,0.51,40,25
T-shirt,Outono,123.39,10,1,0.36,32,45
Calças,Verão,87.91,0,1,0.21,30,51
Sweater,Inverno,65.43,20,0,0.39,88,79
Casaco,Outono,145.71,0,0,0.35,59,39
T-shirt,Outono,73.24,0,0,0.25,34,28
Saia,Inverno,74.04,0,0,0.39,8,6
Calças,Verão,46.75,10,0,0.59,38,33
Casaco,Primavera,96.8,20,0,0.22,11,12
Casaco,Outono,104.97,10,0,0.28,74,56
Casaco,Primavera,21.29,30,1,0.46,22,23
Casaco,Inverno,126.01,20,0,0.62,69,69
Sweater,Outono,82.28,10,1,0.5,55,69
Calças,Inverno,13.38,0,0,0.29,51,50
Casaco,Outono,37.56,10,0,0.32,54,61
T-shirt,Primavera,67.98,50,0,0.47,59,88
Saia,Verão,18.34,10,1,0.44,55,89
Saia,Outono,32.87,0,0,0.37,21,5
Vestido,Outono,63.59,20,0,0.43,24,25
Saia,Outono,132.92,10,1,0.22,37,35
T-shirt,Verão,142.44,20,0,0.23,63,88
T-shirt,Outono,148.53,20,1,0.26,31,49
Casaco,Outono,103.86,10,0,0.42,53,55
Sweater,Primavera,43.17,0,0,0.56,18,34
Casaco,Outono,71.19,10,0,0.58,51,51
Saia,Inverno,78.58,10,1,0.48,12,8
Casaco,Inverno,112.42,0,0,0.23,62,83
Sweater,Primavera,96.61,10,0,0.48,31,32
Calças,Inverno,27.86,10,0,0.34,60,61
Saia,Outono,58.98,0,0,0.29,18,27
Calças,Inverno,88.95,0,0,0.46,61,52
Saia,Primavera,28.65,0,0,0.47,39,49
Sweater,Verão,13.35,10,1,0.28,11,9
T-shirt,Inverno,67.03,10,1,0.29,16,31
T-shirt,Inverno,93.57,20,0,0.54,14,21
Calças,Inverno,37.81,0,0,0.45,63,41
Vestido,Outono,111.23,20,1,0.46,34,25
Casaco,Outono,130.89,0,0,0.32,65,51
Saia,Inverno,123.08,30,1,0.21,7,11
Vestido,Inverno,54.76,0,0,0.2,1,4
Casaco,Inverno,15.64,10,0,0.62,71,69
Saia,Outono,31.19,0,0,0.22,20,27
Casaco,Verão,111.66,0,0,0.29,1,19
Casaco,Outono,83.28,30,1,0.57,72,70
Sweater,Primavera,102.08,10,0,0.55,34,21
Calças,Inverno,94.0,10,0,0.62,55,50
Sweater,Inverno,23.65,30,0,0.22,76,87
Sweater,Verão,18.92,0,0,0.4,1,12
Vestido,Inverno,131.98,0,1,0.56,11,16
Sweater,Inverno,97.5,10,0,0.59,91,70
T-shirt,Outono,127.1,10,0,0.52,34,48
Saia,Inverno,126.14,20,0,0.58,2,18
T-shirt,Inverno,111.55,0,0,0.6,15,16
Casaco,Outono,47.88,0,1,0.33,53,62
Sweater,Inverno,86.2,50,0,0.36,52,98
Saia,Outono,80.77,10,0,0.64,23,18
Sweater,Primavera,75.52,10,1,0.6,24,31
Calças,Outono,115.3,10,0,0.47,73,52
Vestido,Primavera,89.91,10,1,0.25,54,85
Calças,Outono,115.4,20,1,0.53,41,71
Saia,Verão,20.22,20,1,0.31,85,92
T-shirt,Primavera,21.36,10,1,0.51,71,79
Sweater,Outono,14.44,10,0,0.56,44,61
Calças,Primavera,134.11,0,1,0.32,48,58
Calças,Outono,27.06,0,1,0.23,60,68
